datetime,close,ema1,ema2,ema3,ema4,ema5,ema6,ema7,ema8,ema9,ema10,ema11,ema12,bbup,bblow,bbmid,volume
2021-01-01 01:00:00,734.07,,,,,,,,,,,,,,,,27932.69884
2021-01-01 02:00:00,748.28,,,,,,,,,,,,,,,,52336.18779
2021-01-01 03:00:00,744.06,742.1366666666667,,,,,,,,,,,,,,,33019.501
2021-01-01 04:00:00,744.82,743.4783333333334,,,,,,,,,,,,,,,17604.80859
2021-01-01 05:00:00,742.29,742.8841666666667,742.704,,,,,,,,,,,,,,18794.15424
2021-01-01 06:00:00,740.65,741.7670833333334,742.0193333333334,,,,,,,,,,,,,,14948.26447
2021-01-01 07:00:00,739.97,740.8685416666667,741.3362222222223,,,,,,,,,,,,,,17106.99495
2021-01-01 08:00:00,737.38,739.1242708333334,740.0174814814816,741.44,,,,,,,,,,,,,21624.68945
2021-01-01 09:00:00,730.07,734.5971354166668,736.7016543209878,738.9133333333334,,,,,,,,,,,,,52992.04892
2021-01-01 10:00:00,733.68,734.1385677083333,735.6944362139919,737.7503703703704,739.527,,,,,,,,,,,,22836.46973
2021-01-01 11:00:00,736.81,735.4742838541666,736.0662908093279,737.5413991769548,739.033,,,,,,,,,,,,22895.59711
2021-01-01 12:00:00,738.85,737.1621419270833,736.9941938728854,737.8321993598537,738.9997272727272,739.2441666666667,,,,,,,,,,,29384.09871
2021-01-01 13:00:00,733.19,735.1760709635416,735.7261292485903,736.8005995021084,737.9434132231404,738.3127564102565,,,,,,,,,,,50190.47228
2021-01-01 14:00:00,740.08,737.6280354817709,737.1774194990603,737.5293551683066,738.3318835462057,738.5846400394479,,,,,,,,,,,23543.56362
2021-01-01 15:00:00,738.0,737.8140177408854,737.4516129993735,737.6339429086829,738.2715410832593,738.4946954179944,738.8133333333334,,,,,,,,,,22098.37395
2021-01-01 16:00:00,735.39,736.6020088704427,736.7644086662491,737.1352889289756,737.7476245226667,738.0170499690721,738.3854166666667,,,,,,,,,,25671.61199
2021-01-01 17:00:00,735.83,736.2160044352213,736.4529391108327,736.8452247225366,737.3989655185455,737.680580743061,738.0659895833334,,,,,,,,,,22249.34205
2021-01-01 18:00:00,727.94,732.0780022176107,733.6152927405552,734.8662858953062,735.6791536060827,736.1820298595131,736.8002408854168,,,,,,,,,,40914.26505
2021-01-01 19:00:00,724.6,728.3390011088054,730.6101951603702,732.5848890296826,733.6647620413403,734.4001791118957,735.2752107747397,,,,,,,,,,66427.75355
2021-01-01 20:00:00,725.34,726.8395005544028,728.8534634402469,730.9749136897531,732.1511689429148,733.0063054023733,734.0333094278972,,,,,,,748.8660186570219,724.263981342978,736.5649999999999,26866.35862
2021-01-01 21:00:00,729.48,728.1597502772014,729.0623089601646,730.6427106475858,731.6655018623848,732.4637968789312,733.4641457494099,,,,,,,748.9806104779672,723.6903895220329,736.3355,22422.29118
2021-01-01 22:00:00,728.23,728.1948751386008,728.7848726401098,730.1065527259,731.040865160133,731.8124435129419,732.8098775307337,,,,,,,747.1856116953179,723.480388304682,735.333,14582.15316
2021-01-01 23:00:00,728.9,728.5474375693004,728.8232484267398,729.8384298979222,730.6516169491996,731.3643752801815,732.321142839392,,,,,,,746.0305986312383,723.1194013687618,734.575,14614.20353
2021-01-02 00:00:00,728.91,728.7287187846503,728.8521656178266,729.6321121428284,730.3349593220723,730.9867790832305,731.894749984468,,,,,,,744.4624723860244,723.0965276139756,733.7795,14058.19051
2021-01-02 01:00:00,719.9,724.3143593923251,725.8681104118843,727.4694205555332,728.4376939907864,729.2811207627335,730.3954062364095,,,,,,,744.1992876729928,721.1207123270074,732.6600000000001,46190.17553
2021-01-02 02:00:00,729.38,726.8471796961626,727.0387402745896,727.8939937654147,728.609022356098,729.2963329530822,730.2684804568584,,,,,,,743.1087064546604,721.0842935453396,732.0965,37985.46001
2021-01-02 03:00:00,729.44,728.1435898480813,727.8391601830598,728.2375507064337,728.7601092004437,729.3184355756849,730.164920399751,,,,,,,742.0185826790256,721.1214173209743,731.5699999999999,21870.2522
2021-01-02 04:00:00,730.39,729.2667949240406,728.68944012204,728.7158727716707,729.0564529821811,729.4832916409641,730.1930553497822,,,,,,,741.3304722551683,721.1105277448318,731.2205,13138.56186
2021-01-02 05:00:00,729.45,729.3583974620203,728.9429600813601,728.8790121557439,729.1280069854208,729.4781698500466,730.1001734310594,,,,,,,741.3171798428743,721.0618201571258,731.1895000000001,13117.64933
2021-01-02 06:00:00,731.99,730.6741987310102,729.95864005424,729.5703427878009,729.648369351708,729.8646052577317,730.3364017521769,733.9123333333333,,,,,,741.1761955596072,721.0338044403928,731.105,19342.91315
2021-01-02 07:00:00,737.04,733.8570993655051,732.3190933694934,731.230266612734,730.9923021968519,730.9685121411576,731.1743515331548,734.1141182795699,,,,,,741.2142171182412,721.0187828817587,731.1165,41590.31856
2021-01-02 08:00:00,735.12,734.4885496827526,733.2527289129956,732.0946518099042,731.7427927065152,731.6072025809796,731.6675575915104,734.1790138744364,,,,,,740.5772255078768,721.2827744921233,730.9300000000001,23887.39609
2021-01-02 09:00:00,733.84,734.1642748413763,733.4484859419972,732.4825069632589,732.1241031235124,731.9507098762135,731.9391128925716,734.1571420115696,,,,,,740.6442785039787,721.2807214960212,730.9625,32631.45363
2021-01-02 10:00:00,725.41,729.7871374206882,730.7689906279982,730.9108387492013,730.9033571010556,730.9444468183345,731.1229737810002,733.5928102688877,,,,,,739.2359437657736,721.2220562342264,730.229,38970.42653
2021-01-02 11:00:00,728.47,729.1285687103441,730.0026604186655,730.3684301382677,730.4609285372273,730.563762692437,730.7913520583752,733.2623063805723,733.6357142857142,,,,,738.0445416665782,721.4604583334217,729.7524999999999,34642.76548
2021-01-02 12:00:00,729.7,729.4142843551721,729.9017736124438,730.2198901075416,730.322577894095,730.4308761243698,730.6549330510783,733.032480162471,733.4170634920634,,,,,737.3469887675739,721.5890112324263,729.4680000000001,14020.08545
2021-01-02 13:00:00,752.38,740.897142177586,737.3945157416292,735.1443589725324,734.3330182769869,733.8076644129283,733.3705664196935,734.2807072487632,734.4705599647266,,,,,742.7949551481397,717.7960448518602,730.2955,134011.4756
